id,dist_latest_transaction_address_km,email,application_date,site_visits_A,site_visits_B,site_visits_C,credit_limit,number_of_transactions,is_fraud
0,2.0,djellybrande2@yolasite.com,2019-03-17 03:57:12.247891,0.0,0.0,0.0,"$1,032.00",23,0
1,4.0,vbohlerkx@soundcloud.com,2019-02-02 13:28:13.611142,8.0,1.0,1.0,"$1,601.50",25,0
2,4.0,aocurraneba@discuz.net,2019-03-23 20:40:31.035168,7.0,1.0,1.0,"$1,293.69",25,0
3,1.0,ojane18@tuttocitta.it,2019-02-08 18:39:17.996564,4.0,0.0,0.0,"$1,007.86",19,0
4,1.0,wdemeadc@alexa.com,2019-02-08 15:53:42.666945,28.0,1.0,1.0,"$1,027.03",17,0
5,2.0,dglase5@nih.gov,2019-03-03 20:57:51.756079,2.0,1.0,1.0,"$1,568.00",28,0
6,16.0,bpicfordfn@unc.edu,2019-03-14 02:23:44.364015,24.0,1.0,1.0,"$1,127.23",14,0
7,1.0,igrunnellj8@discuz.net,2019-02-13 22:18:18.422714,9.0,0.0,0.0,"$1,119.22",17,0
8,2.0,achallis80@squidoo.com,2019-02-08 02:26:32.544875,0.0,1.0,1.0,"$1,007.80",30,0
9,1.0,ekunatbn@facebook.com,2019-02-22 06:42:59.512795,8.0,2.0,2.0,"$1,766.31",17,0
10,7.0,abrahamsko@themeforest.net,2019-02-28 18:48:20.420780,9.0,0.0,0.0,"$1,156.76",19,0
11,14.0,headenr5@amazon.co.jp,2019-02-21 15:24:44.975341,15.0,0.0,0.0,"$1,416.30",13,0
12,10.0,sdalliwaterq5@slashdot.org,2019-02-22 23:22:03.768291,14.0,1.0,1.0,"$1,534.70",20,0
13,3.0,fbuxsy1c@squidoo.com,2019-02-10 00:57:29.391047,6.0,0.0,0.0,"$1,131.20",17,0
14,5.0,ngowdym3@facebook.com,2019-01-31 21:49:08.509463,12.0,2.0,2.0,"$2,008.23",24,0
15,3.0,mgillease9k@themeforest.net,2019-03-24 09:56:04.631848,26.0,0.0,0.0,"$1,034.12",17,0
16,1.0,gwhistanceow@topsy.com,2019-02-16 04:34:43.435221,1.0,1.0,1.0,"$1,796.13",19,0
17,1.0,tkitchingmanhw@facebook.com,2019-02-25 19:38:33.958041,4.0,1.0,1.0,"$1,011.72",27,0
18,7.0,ealbasinie4@desdev.cn,2019-02-05 09:00:26.421634,1.0,2.0,2.0,"$1,809.36",18,0
19,9.0,jscripps43@amazon.co.jp,2019-03-07 03:02:49.656282,6.0,1.0,1.0,"$1,812.61",16,0
20,11.0,sgeorgeaufo@desdev.cn,2019-03-20 20:06:25.451464,2.0,1.0,1.0,"$1,689.94",17,0
21,3.0,scallister7@amazon.co.jp,2019-02-04 09:30:47.473655,7.0,0.0,0.0,"$1,215.15",22,0
22,0.0,gsouthwickdt@yolasite.com,2019-03-23 23:48:26.795197,39.0,1.0,1.0,"$1,498.43",18,0
23,6.0,rsaphirq8@yolasite.com,2019-03-21 23:47:30.834677,9.0,1.0,1.0,"$1,773.43",20,0
24,2.0,jcourso5@typepad.com,2019-03-09 05:45:35.419168,1.0,2.0,2.0,"$2,113.14",28,0
25,7.0,fcasseax@themeforest.net,2019-02-17 02:48:41.945889,22.0,2.0,2.0,"$1,285.75",16,0
26,10.0,mphippsh@themeforest.net,2019-03-11 08:05:07.294423,1.0,0.0,0.0,"$1,055.67",22,1
27,7.0,kholah3n@slashdot.org,2019-03-05 09:49:18.958716,1.0,0.0,0.0,"$1,012.45",18,0
28,1.0,rhearlg4@facebook.com,2019-02-01 06:38:39.340562,31.0,0.0,0.0,"$1,092.52",16,0
29,1.0,epurtellfg@amazon.co.jp,2019-02-27 09:16:38.545354,31.0,0.0,0.0,"$1,058.05",28,0
30,0.0,arigglesfordb8@themeforest.net,2019-02-26 20:15:48.201335,300.0,0.0,0.0,"$1,197.71",18,0
31,1.0,twyllie5b@alexa.com,2019-01-26 05:39:59.804953,4.0,0.0,0.0,"$1,379.67",14,0
32,10.0,tdonnpd@themeforest.net,2019-01-30 03:28:23.897963,22.0,0.0,0.0,"$1,311.96",17,0
33,3.0,cstearley75@soundcloud.com,2019-02-28 17:15:31.916033,10.0,1.0,1.0,"$1,193.28",21,0
34,11.0,bmulrann9@ocn.ne.jp,2019-02-26 05:39:10.395678,9.0,1.0,1.0,"$1,400.76",28,0
